2017-02-12 11:43:05,288 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter [Method=afterSingletonsInstantiated] [Line=431] - Registering beans for JMX exposure on startup
2017-02-12 11:43:05,354 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer [Method=start] [Line=192] - Tomcat started on port(s): 8085 (http)
2017-02-12 11:43:05,357 [main] INFO  c.a.t.DemoAngularBootApplication [Method=logStarted] [Line=57] - Started DemoAngularBootApplication in 2.35 seconds (JVM running for 2.751)
2017-02-12 11:43:13,632 [http-nio-8085-exec-1] INFO  o.a.c.c.C.[.[.[/] [Method=log] [Line=179] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-02-12 11:43:13,633 [http-nio-8085-exec-1] INFO  o.s.w.s.DispatcherServlet [Method=initServletBean] [Line=489] - FrameworkServlet 'dispatcherServlet': initialization started
2017-02-12 11:43:13,650 [http-nio-8085-exec-1] INFO  o.s.w.s.DispatcherServlet [Method=initServletBean] [Line=508] - FrameworkServlet 'dispatcherServlet': initialization completed in 14 ms
2017-02-12 11:43:13,668 [http-nio-8085-exec-1] INFO  c.a.t.c.DemoAngularBootController [Method=returnContactList] [Line=22] - Requested entire contact list
2017-02-12 11:43:22,111 [RMI TCP Connection(2)-192.168.0.18] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin [Method=shutdown] [Line=125] - Application shutdown requested.
2017-02-12 11:43:22,114 [RMI TCP Connection(2)-192.168.0.18] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [Method=doClose] [Line=987] - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6150c3ec: startup date [Sun Feb 12 11:43:03 COT 2017]; root of context hierarchy
2017-02-12 11:43:22,119 [RMI TCP Connection(2)-192.168.0.18] INFO  o.s.j.e.a.AnnotationMBeanExporter [Method=destroy] [Line=449] - Unregistering JMX-exposed beans on shutdown
2017-02-12 11:44:34,371 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStarting] [Line=48] - Starting DemoAngularBootApplicationTests on Sancardenasv-PC with PID 10684 (started by Sancardenasv in C:\Users\Sancardenasv\workspace\demo-angular-boot)
2017-02-12 11:44:34,379 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStartupProfileInfo] [Line=641] - The following profiles are active: production
2017-02-12 11:44:34,424 [main] INFO  o.s.w.c.s.GenericWebApplicationContext [Method=prepareRefresh] [Line=582] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@430fa4ef: startup date [Sun Feb 12 11:44:34 COT 2017]; root of context hierarchy
2017-02-12 11:44:35,174 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration' of type [class org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:44:35,306 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'validator' of type [class org.springframework.validation.beanvalidation.LocalValidatorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:44:35,688 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Method=initControllerAdviceCache] [Line=534] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@430fa4ef: startup date [Sun Feb 12 11:44:34 COT 2017]; root of context hierarchy
2017-02-12 11:44:35,747 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/api/contactList],methods=[GET]}" onto public java.util.List<com.aldeamo.training.entity.Contact> com.aldeamo.training.controller.DemoAngularBootController.returnContactList()
2017-02-12 11:44:35,750 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-02-12 11:44:35,755 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-02-12 11:44:35,781 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:44:35,781 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:44:35,819 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:44:35,847 [main] INFO  o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping [Method=<init>] [Line=510] - Adding welcome page: ServletContext resource [/index.html]
2017-02-12 11:44:35,964 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStarted] [Line=57] - Started DemoAngularBootApplicationTests in 2.002 seconds (JVM running for 3.598)
2017-02-12 11:44:36,003 [Thread-2] INFO  o.s.w.c.s.GenericWebApplicationContext [Method=doClose] [Line=987] - Closing org.springframework.web.context.support.GenericWebApplicationContext@430fa4ef: startup date [Sun Feb 12 11:44:34 COT 2017]; root of context hierarchy
2017-02-12 11:44:44,595 [main] INFO  c.a.t.DemoAngularBootApplication [Method=logStarting] [Line=48] - Starting DemoAngularBootApplication on Sancardenasv-PC with PID 3712 (C:\Users\Sancardenasv\workspace\demo-angular-boot\target\classes started by Sancardenasv in C:\Users\Sancardenasv\workspace\demo-angular-boot)
2017-02-12 11:44:44,597 [main] INFO  c.a.t.DemoAngularBootApplication [Method=logStartupProfileInfo] [Line=641] - The following profiles are active: production
2017-02-12 11:44:44,786 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [Method=prepareRefresh] [Line=582] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6150c3ec: startup date [Sun Feb 12 11:44:44 COT 2017]; root of context hierarchy
2017-02-12 11:44:45,359 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration' of type [class org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:44:45,422 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'validator' of type [class org.springframework.validation.beanvalidation.LocalValidatorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
